"astro-ph/9307022",,"Karl Glazebrook, J.A. Peacock, C.A. Collins and L. Miller","An imaging K-band survey - I: The catalogue, star and galaxy counts","MNRAS in press. 21 pages plain TeX; figs plus table 4 available via
  anonymous ftp from /pub/kgb/paper1/sissa.uu at ftp.ast.cam.ac.uk","Mon.Not.Roy.Astron.Soc. 266 (1994) 65","10.1093/mnras/266.1.65","Edinburgh Astronomy Preprint 93/16","astro-ph",,"  We present results from a large area (552\,\sqamin) imaging $K$-band survey
to a 5$\sigma$ limit of $K\simeq 17.3$. We have optical-infrared colours of
almost all the objects in the sample. Star-galaxy discrimination is performed
and the results used to derive the infrared star and galaxy counts. $K$-band
``no-evolution'' galaxy-count models are constructed and compared with the
observed data. In the infrared, there is no counterpart for the large excess of
faint galaxies over the no-evolution model seen in optical counts. However, we
show that the $K$ counts can be remarkably insensitive to evolution under
certain reasonable assumptions. Finally, model predictions for $K$-selected
redshift surveys are derived.
","[{""version"":""v1"",""created"":""Wed, 14 Jul 1993 14:10:00 GMT""}]","2015-06-24"
"astro-ph/9307023","Pradip Ku. sahu","L. Satpathy, P.K. Sahu and V.S. Uma Maheswari","Masses of Multiquark Droplets","24pages + 5 figures available upon request,Latex,IP/BBSR/93-36","Phys.Rev. D49 (1994) 4642-4648","10.1103/PhysRevD.49.4642",,"astro-ph",,"  The mass formulae for finite lumps of strange quark matter with $u$, $d$ and
$s$ quarks, and non-strange quark matter consisting of $u$ and $d$ quarks are
derived in a non-relativistic potential model. The finite-size effects
comprising the surface, curvature and even, the Gauss curvature were
consistently obtained, which shows a converging trend. It is found that there
is a possibility for the formation of metastable strangelets of large mass. The
model predicts low charge to mass ratio as the characteristic signature of
strange matter in agreement with the relativistic studies. This study also
yields an independent estimate for the bag energy density $B$, which is in
agreement with the M.I.T bag model value.
","[{""version"":""v1"",""created"":""Wed, 14 Jul 1993 15:09:38 GMT""}]","2009-10-22"
"cond-mat/9307026","Jeong Hawoong","H. Jeong, B. Kahng, D. Kim","Dynamics of Toom interface in three dimensions","9pages (4 postscript files at the end of tex file)","Phys. Rev. Lett. 72 (1993) 747","10.1103/PhysRevLett.71.747",,"cond-mat",,"  We introduce a novel three dimensional Toom model on bcc lattice, and study
its physical properties. In low-noise limit, the model leads to an effective
solid-on-solid-type model, which exhibits a stationary interface via
depositions and evaporations with avalanche process. We find that the model is
described by the Edwards-Wilkinson equation for unbiased case and the
anisotropic-Kardar-Parisi-Zhang equation in the weak-coupling limit for biased
case. Thus the square of the surface width diverges logarithmically with space
and time for both unbiased and biased cases.
","[{""version"":""v1"",""created"":""Wed, 14 Jul 1993 04:04:21 GMT""}]","2009-10-22"
"cond-mat/9307027","Sven Sandow","Sven Sandow and Gunter Schuetz","On U_q(SU(2))-symmetric Driven Diffusion","10 pages, LATEX",,"10.1209/0295-5075/26/1/002","WIS-93/64/Jul.-PH","cond-mat",,"  We study analytically a model where particles with a hard-core repulsion
diffuse on a finite one-dimensional lattice with space-dependent, asymmetric
hopping rates. The system dynamics are given by the
\mbox{U$_{q}$[SU(2)]}-symmetric Hamiltonian of a generalized anisotropic
Heisenberg antiferromagnet. Exploiting this symmetry we derive exact
expressions for various correlation functions. We discuss the density profile
and the two-point function and compute the correlation length $\xi_s$ as well
as the correlation time $\xi_t$. The dynamics of the density and the
correlations are shown to be governed by the energy gaps of a one-particle
system. For large systems $\xi_s$ and $\xi_t$ depend only on the asymmetry. For
small asymmetry one finds $\xi_t \sim \xi_s^2$ indicating a dynamical exponent
$z=2$ as for symmetric diffusion.
","[{""version"":""v1"",""created"":""Wed, 14 Jul 1993 12:45:24 GMT""},{""version"":""v2"",""created"":""Thu, 15 Jul 1993 11:06:36 GMT""}]","2009-10-22"
"cond-mat/9307028","Andreas Schadschneider","A. Kl\""umper, A. Schadschneider and J. Zittartz","Matrix-product-groundstates for one-dimensional spin-1 quantum
  antiferromagnets","8 pages (plain tex), preprint cologne-93-4714","Europhys. Lett. 24, 293 (1993)","10.1209/0295-5075/24/4/010",,"cond-mat",,"  We have found the exact groundstate for a large class of antiferromagnetic
spin-1 models with nearest-neighbour interactions on a linear chain. All
groundstate properties can be calculated. The groundstate is determined as a
matrix product of individual site states and has the properties of the Haldane
scenario.
","[{""version"":""v1"",""created"":""Wed, 14 Jul 1993 14:40:29 GMT""}]","2009-10-22"
"gr-qc/9307015","Kristin Schleich","Kristin Schleich and Donald M. Witt","Generalized Sums over Histories for Quantum Gravity I. Smooth Conifolds","81pp., plain TeX, To appear in Nucl. Phys. B","Nucl.Phys.B402:411-468,1993","10.1016/0550-3213(93)90649-A",,"gr-qc hep-th",,"  This paper proposes to generalize the histories included in Euclidean
functional integrals from manifolds to a more general set of compact
topological spaces. This new set of spaces, called conifolds, includes
nonmanifold stationary points that arise naturally in a semiclasssical
evaluation of such integrals; additionally, it can be proven that sequences of
approximately Einstein manifolds and sequences of approximately Einstein
conifolds both converge to Einstein conifolds. Consequently, generalized
Euclidean functional integrals based on these conifold histories yield
semiclassical amplitudes for sequences of both manifold and conifold histories
that approach a stationary point of the Einstein action. Therefore sums over
conifold histories provide a useful and self-consistent starting point for
further study of topological effects in quantum gravity. Postscript figures
available via anonymous ftp at black-hole.physics.ubc.ca (137.82.43.40) in file
gen1.ps.
","[{""version"":""v1"",""created"":""Tue, 13 Jul 1993 22:38:00 GMT""}]","2010-11-01"
"gr-qc/9307016","Ulvi Yurtsever","Ulvi Yurtsever","The origin of spacetime topology and generalizations of quantum field
  theory","23 pages, UCSBTH-92-45","Class.Quant.Grav.11:1013-1026,1994","10.1088/0264-9381/11/4/017",,"gr-qc",,"  The research effort reported in this paper is directed, in a broad sense,
towards understanding the small-scale structure of spacetime. The fundamental
question that guides our discussion is ``what is the physical content of
spacetime topology?"" In classical physics, if spacetime, $(X, \tau )$, has
sufficiently regular topology, and if sufficiently many fields exist to allow
us to observe all continuous functions on $X$, then this collection of
continuous functions uniquely determines both the set of points $X$ and the
topology $\tau$ on it. To explore the small-scale structure of spacetime, we
are led to consider the physical fields (the observables) not as classical
(continuous functions) but as quantum operators, and the fundamental observable
as not the collection of all continuous functions but the local algebra of
quantum field operators. In pursuing our approach further, we develop a number
of generalizations of quantum field theory through which it becomes possible to
talk about quantum fields defined on arbitrary topological spaces. Our ultimate
generalization dispenses with the fixed background topological space altogether
and proposes that the fundamental observable should be taken as a lattice (or
more specifically a ``frame,"" in the sense of set theory) of closed subalgebras
of an abstract $C^{\ast}$ algebra. Our discussion concludes with the definition
and some elementary
","[{""version"":""v1"",""created"":""Wed, 14 Jul 1993 01:32:07 GMT""}]","2010-04-06"
"gr-qc/9307017","Ulvi Yurtsever","Ulvi Yurtsever","Algebraic approach to quantum field theory on non-globally-hyperbolic
  spacetimes","21 pages, UCSBTH-92-43","Class.Quant.Grav.11:999-1012,1994","10.1088/0264-9381/11/4/016",,"gr-qc",,"  The mathematical formalism for linear quantum field theory on curved
spacetime depends in an essential way on the assumption of global
hyperbolicity. Physically, what lie at the foundation of any formalism for
quantization in curved spacetime are the canonical commutation relations,
imposed on the field operators evaluated at a global Cauchy surface. In the
algebraic formulation of linear quantum field theory, the canonical commutation
relations are restated in terms of a well-defined symplectic structure on the
space of smooth solutions, and the local field algebra is constructed as the
Weyl algebra associated to this symplectic vector space. When spacetime is not
globally hyperbolic, e.g. when it contains naked singularities or closed
timelike curves, a global Cauchy surface does not exist, and there is no
obvious way to formulate the canonical commutation relations, hence no obvious
way to construct the field algebra. In a paper submitted elsewhere, we report
on a generalization of the algebraic framework for quantum field theory to
arbitrary topological spaces which do not necessarily have a spacetime metric
defined on them at the outset. Taking this generalization as a starting point,
in this paper we give a prescription for constructing the field algebra of a
(massless or massive) Klein-Gordon field on an arbitrary background spacetime.
When spacetime is globally hyperbolic, the theory defined by our construction
coincides with the ordinary Klein-Gordon field theory on a
","[{""version"":""v1"",""created"":""Wed, 14 Jul 1993 03:11:38 GMT""}]","2010-04-06"
"hep-lat/9307012","Joe Kiskis","J. Kiskis and P. Vranas","Adjoint Wilson Line in SU(2) Lattice Gauge Theory","21 pages, no figures, Latex/Revtex 3, UCD-93-19","Phys.Rev. D49 (1994) 528-534","10.1103/PhysRevD.49.528",,"hep-lat",,"  The behavior of the adjoint Wilson line in finite-temperature, $SU(2)$,
lattice gauge theory is discussed. The expectation value of the line and the
associated excess free energy reveal the response of the finite-temperature
gauge field to the presence of an adjoint source. The value of the adjoint line
at the critical point of the deconfining phase transition is highlighted. This
is not calculable in weak or strong coupling. It receives contributions from
all scales and is nonanalytic at the critical point. We determine the general
form of the free energy. It includes a linearly divergent term that is
perturbative in the bare coupling and a finite, nonperturbative piece. We use a
simple flux tube model to estimate the value of the nonperturbative piece. This
provides the normalization needed to estimate the behavior of the line as one
moves along the critical curve into the weak coupling region.
","[{""version"":""v1"",""created"":""Tue, 13 Jul 1993 20:29:00 GMT""}]","2009-10-22"
"hep-ph/9307264",,"Pankaj Jain, Alan J. Sommerer, Douglas W. McKay, J.R. Spence, J.P.
  Vary and Bing--Lin Young","Isospin Multiplet Structure in Ultra--Heavy Fermion Bound States","20 pages, 7 figures (hard copy available upon request), report#
  KU-HEP-93-29","Phys.Rev.D49:2514-2524,1994","10.1103/PhysRevD.49.2514",,"hep-ph",,"  The coupled Bethe--Salpeter bound state equations for a $Q\bar Q$ system,
where $Q=(U,D)$ is a degenerate, fourth generation, super--heavy quark doublet,
are solved in several ladder approximation models. The exchanges of gluon,
Higgs and Goldstone modes in the standard model are calculated in the
ultra--heavy quark limit where weak $\gamma, W^\pm$ and $Z^0$ contributions are
negligible. A natural $I=0$ and $I=1$ multiplet pattern is found, with large
splittings occuring between the different weak iso--spin states when $M_Q$, the
quark masses, are larger than values in the range $0.4 TeV<M_Q<0.8 TeV$,
depending on which model is used. Consideration of ultra--heavy quark lifetime
constraints and $U-D$ mass splitting constraints are reviewed to establish the
plausibility of lifetime and mass degeneracy requirements assumed for this
paper.
","[{""version"":""v1"",""created"":""Tue, 13 Jul 1993 16:27:52 GMT""}]","2010-11-01"
