"alg-geom/9310002","Yujiro Kawamata","Yujiro Kawamata","General hyperplane sections of nonsingular flops in dimension 3","3 pages, AMS-TEX",,,,"alg-geom math.AG",,"  We give a simple proof of a theorem of Katz and Morrison.
","[{""version"":""v1"",""created"":""Tue, 5 Oct 1993 07:19:49 GMT""}]","2008-02-03"
"astro-ph/9310007",,"John F.L. Simmons, Andrew Newsam, Martin Hendry","Potent and Max-Flow Algorithms","9 pages includeing 5 figures, uuencoded compressed PostScript, for
  Cosmic Velocity Fields, IAP Paris July 1993. UG-COS-JFLS-001",,,,"astro-ph",,"  Although Potent purports to use only radial velocities in retrieving the
potential velocity field of galaxies, the derivation of transverse components
is implicit in the smoothing procedures. Thus the possibility of using
nonradial line integrals to derive the velocity field arises. In the case of
inhomogeneous distributions of galaxies, the optimal path for integration need
not be radial, and can be obtained by using max-flow algorithms. In this paper
we present the results of using Dijkstra's algorithm to obtain this optimal
path and velocity field.
","[{""version"":""v1"",""created"":""Mon, 4 Oct 1993 17:31:00 GMT""}]","2007-05-23"
"astro-ph/9310008",,"Andrew Newsam, John F.L. Simmons, Martin Hendry","Bias in Velocity Field Recoveries","10 pages including 5 figures, uuencoded compressed PostScript, for
  Cosmic Velocity Fields, IAP Paris July 1993. UG-COS-AMN-001",,,,"astro-ph",,"  We investigate the effect of using different distance estimators on the
recovery of the peculiar velocity field of galaxies using Potent. An
inappropriate choice of distance estimator will give rise to spurious flows. We
discuss methods of minimising these biases and the levels of accuracy required
of distance estimators to retrieve velocity fields to a given standard.
","[{""version"":""v1"",""created"":""Mon, 4 Oct 1993 17:34:00 GMT""}]","2007-05-23"
"astro-ph/9310009","Albert Stebbins","Albert Stebbins","Bayesian Estimates of the Large-Scale Velocity Field in Real Space and
  Redshift Space","10, PostScript, FERMILAB-Conf-93/295-A",,,,"astro-ph",,"  Methods for inferring the velocity field from the peculiar velocity data are
described and applied to old and newer data. Inhomogeneous Malmquist bias and
ways to avoid it are discussed and utilized. We infer that these biases are
probably important in interpreting the data.
","[{""version"":""v1"",""created"":""Mon, 4 Oct 1993 21:46:15 GMT""}]","2007-05-23"
"comp-gas/9310001","U. Chen","Yu Chen, Hirotada Ohashi and Mamoru Akiyama (Department of Quantumn
  Engineering and Systems Science University of Tokyo, Japan)","Elimination of Nonlinear Deviations in Thermal Lattice BGK Models","4 pages, 1 table, 4 figures",,,,"comp-gas nlin.CG",,"  Abstracet: We present a new thermal lattice BGK model in D-dimensional space
for the numerical calculation of fluid dynamics. This model uses a higher order
expansion of equilibrium distribution in Maxwellian type. In the mean time the
lattice symmetry is upgraded to ensure the isotropy of 6th order tensor. These
manipulations lead to macroscopic equations free from nonlinear deviations. We
demonstrate the improvements by conducting classical Chapman-Enskog analysis
and by numerical simulation of shear wave flow. The transport coefficients are
measured numerically, too.
","[{""version"":""v1"",""created"":""Tue, 5 Oct 1993 06:46:42 GMT""}]","2008-02-03"
"cond-mat/9310006","Kareljan Schoutens","Kareljan Schoutens","Complete Solution of a Supersymmetric Extended Hubbard Model","16 pages, LaTex, PUPT-1420, CERN-TH.6982/93",,"10.1016/0550-3213(94)90007-8",,"cond-mat hep-th",,"  We show that the recently constructed exact solution of the $SU(2|2)$
extended Hubbard model on a one-dimensional lattice provides a complete set of
$4^L$ eigenstates of the hamiltonian, where $L$ is the length of the lattice.
","[{""version"":""v1"",""created"":""Tue, 5 Oct 1993 13:45:14 GMT""}]","2009-10-22"
"hep-lat/9310003","Clive Baillie","C.F. Baillie and D.A. Johnston","2D O(3) + 2D QG","5 pages, COLO-HEP-324","Phys.Rev.D49:603-606,1994","10.1103/PhysRevD.49.603",,"hep-lat",,"  It has been suggested that the peak in the specific heat observed numerically
for random surface actions with extrinsic curvature on dynamical lattices might
be the result of a low mass bound state in an asymptotically free theory,
rather than the signal for a real phase transition. The $O(3)$ model on a fixed
lattice displays just such behaviour, but in general transitions appear to be
weakened when the models concerned are put on dynamical lattices (ie coupled to
2d quantum gravity). We have therefore performed simulations of the $O(3)$
model on dynamical $\phi^3$ graphs to see if there is still a peak in the
specific heat and compared the results with those on fixed lattices.
","[{""version"":""v1"",""created"":""Mon, 4 Oct 1993 16:02:06 GMT""}]","2008-11-26"
"hep-lat/9310004","Stephen Sharpe","Stephen Sharpe and Apoorva Patel","Perturbative Corrections for Staggered Four-Fermion Operators","44 pages latex (uses psfig), 3 ps figures, all bundled using uufiles
  (correctly this time!), UW/PT-93-1","Nucl.Phys.B417:307-356,1994","10.1016/0550-3213(94)90549-5",,"hep-lat",,"  We present results for one-loop matching coefficients between continuum
four-fermion operators, defined in the Naive Dimensional Regularization scheme,
and staggered fermion operators of various types. We calculate diagrams
involving gluon exchange between quark lines, and ``penguin'' diagrams
containing quark loops. For the former we use Landau gauge operators, with and
without $O(a)$ improvement, and including the tadpole improvement suggested by
Lepage and Mackenzie.For the latter we use gauge-invariant operators. Combined
with existing results for two-loop anomalous dimension matrices and one-loop
matching coefficients, our results allow a lattice calculation of the
amplitudes for $K\bar K$ mixing and $K\to\pi\pi$ decays with all corrections of
$O(g^2)$ included. We also discuss the mixing of $\Delta S=1$ operators with
lower dimension operators, and show that, with staggered fermions, only a
single lower dimension operator need be removed by non-perturbative
subtraction.
","[{""version"":""v1"",""created"":""Tue, 5 Oct 1993 06:52:13 GMT""},{""version"":""v2"",""created"":""Tue, 5 Oct 1993 16:44:28 GMT""}]","2011-07-19"
"hep-lat/9310005","Pierre van Baal","Pierre van Baal and Bas van den Heuvel","Zooming-in on the SU(2) fundamental domain","19p., 6 figs. appended in PostScript (uuencoded), preprint
  INLO-PUB-12/93. Revision: ONLY change is a much more economic PostScript code
  for figures 1-4 (with apologies)","Nucl.Phys. B417 (1994) 215-237","10.1016/0550-3213(94)90544-4",,"hep-lat hep-th",,"  For SU(2) gauge theories on the three-sphere we analyse the Gribov horizon
and the boundary of the fundamental domain in the 18 dimensional subspace that
contains the tunnelling path and the sphaleron and on which the energy
functional is degenerate to second order in the fields. We prove that parts of
this boundary coincide with the Gribov horizon with the help of bounds on the
fundamental modular domain.
","[{""version"":""v1"",""created"":""Tue, 5 Oct 1993 15:19:12 GMT""},{""version"":""v2"",""created"":""Fri, 8 Oct 1993 15:42:24 GMT""}]","2009-10-22"
"hep-ph/9310217","Rogerio Rosenfeld","R. Rosenfeld","Can $\gamma \gamma \rightarrow Z_L Z_L$ serve as a probe of the
  electroweak symmetry breaking sector ?","14 pages, LaTex , 3 figures not included (available as post-script
  files upon request), NUB-3074/93-Th","Mod.Phys.Lett. A9 (1994) 735-748","10.1142/S0217732394000551",,"hep-ph",,"  We investigate the feasibility of distinguishing among different models of
electroweak symmetry breaking by studying the process $\gamma \gamma
\rightarrow Z_L Z_L$ at photon colliders. For models with a low mass Higgs-like
scalar resonance, the $s$-channel contribution provides a distinct resonance
structure and large cross sections. However, the absence of a resonance
structure in the cross section for the above process does not discriminate in
principle between the existence of either a heavy Higgs boson or a vector
resonance of a non-linearly realized symmetry.
","[{""version"":""v1"",""created"":""Mon, 4 Oct 1993 19:08:52 GMT""}]","2009-10-22"
"hep-ph/9310218","Rick Weller","S. Kelley","Testing Unified Supersymmetric Models","25 pages, MIU-THP-93/65",,,,"hep-ph",,"  I define the Standard Supersymmetric Model (SSM) as the minimal
supersymmetric extension ofthe Standard Model with gauge coupling unification
and universal soft supersymmetry breaking at the unification scale. This
well-defined model has a five-dimensional space of unknown parameters ($m_t,
\tan\beta, m_{1/2}, m_0, A$). I outline the top-down and bottom-up methods of
solving this model. Thresholds may be treated either by dropping heavy
particles from the RGE's or by considering loop corrections to the vacuum
energy. Substantial regions of the parameter space are consistent with all
experimental constraints. I consider the relation of the SSM to more realistic
models such as supersymmetric $SU(5)$, Flipped $SU(5)\times U(1)$, the
String-Inspired Standard Model, and string-derived models. I briefly discuss
sparticle spectroscopy and flavor changing neutral currents (FCNC's) as sample
methods for determining the unknown parameters of the SSM, and discriminating
between the SSM and more realistic models.
","[{""version"":""v1"",""created"":""Mon, 4 Oct 1993 20:24:12 GMT""}]","2007-05-23"
