"alg-geom/9310007","Burt Totaro","David Eisenbud, Alyson Reeves, and Burt Totaro","Initial ideals, Veronese subrings, and rates of algebras","24 pages, latex file",,,,"alg-geom math.AC math.AG",,"  We show that high Veronese subrings of any commutative graded ring have a
Grobner basis with all relations of degree 2. (The d-th Veronese subring of a
ring A_0 + A_1 + A_2 + ... is the ring A_0 + A_d + A_{2d} + ...; ``high'' means
we take d sufficiently large, say at least half the regularity of the ideal
defining the original ring.) This gives another proof of Backelin's theorem
that such Veronese subrings are Koszul algebras (= wonderful rings), i.e., that
the minimal resolution of the residue field of such a ring is linear.
","[{""version"":""v1"",""created"":""Mon, 11 Oct 1993 22:38:14 GMT""}]","2008-02-03"
"astro-ph/9310016","Rupert A. C. Croft","R. A. C. Croft and G. Efstathiou","Large-scale structure and motions from simulated galaxy clusters","uuencoded compressed postscript, submitted as a contribution to
  UNAM-CRAY Workshop on Numerical Simulations in Astrophysics",,,,"astro-ph",,"  We use high resolution dissipationless N-body simulations to examine the
spatial distribution of galaxy clusters on large scales. The Standard CDM model
and two of its main competitors, Low density CDM and Mixed Dark Matter are
compared.The two-point correlation function of simulated clusters is compared
with an extended survey of APM clusters , and it is found that Standard CDM
exhibits a lack of power on all scales, whereas the two alternative scenarios
are able to match the spatial correlations well. Of the remaining two
models,the velocities in the MDM universe have a higher amplitude and their
distribution is much broader. We compare these peculiar velocities with
observations and find that both models have difficulty in reproducing the
observed numbers of very high peculiar velocity clusters. The reliable
detection of several more clusters with velocities in excess of 1000 km/s would
render the LCDM scenario in particular very unlikely.
","[{""version"":""v1"",""created"":""Mon, 11 Oct 1993 16:46:56 GMT""}]","2007-05-23"
"astro-ph/9310017","Rupert A. C. Croft","R. A. C. Croft and G. Efstathiou","The Correlation Function of Rich Clusters of Galaxies in CDM-like Models","uuencoded compressed postscript ,MNRAS, in press, OUAST-93-17","Mon.Not.Roy.Astron.Soc. 267 (1994) 390","10.1093/mnras/267.2.390",,"astro-ph",,"  We use ensembles of high-resolution CDM simulations to investigate the shape
and amplitude of the two point correlation function of rich clusters. The
standard scale-invariant CDM model with $\Omega=1$ provides a poor description
of the clustering measured from the APM rich cluster redshift survey, which is
better fitted by models with more power at large scales. The amplitudes of the
rich cluster correlation functions measured from our models depend weakly on
cluster richness. Analytic calculations of the clustering of peaks in a
Gaussian density field overestimate the amplitude of the N-body cluster
correlation functions, but reproduce qualitatively the weak trend with cluster
richness. Our results suggest that the high amplitude measured for the
correlation function of richness class $R \geq 2$ Abell clusters is either an
artefact arising from incompleteness in the Abell catalogue, or an indication
that the density perturbations in the early universe were very non-Gaussian.
","[{""version"":""v1"",""created"":""Mon, 11 Oct 1993 16:39:53 GMT""}]","2015-06-24"
"astro-ph/9310018",,"S. Matarrese, P. Catelan, F. Lucchin, L. Moscardini, O. Pantano and D.
  Saez","Non--Linear Dynamics of Irrotational Dust: Eulerian and Lagrangian
  Approaches","7 pages in Latex with conf_iap.sty (enclosed in this file), Proc. of
  IX IAP Meeting on Cosmic Velocity Fields, DAPD-289",,,,"astro-ph",,"  Some recently proposed approximations to follow the non--linear evolution of
collisionless matter perturbations in the universe are reviewed. The first one,
called frozen--flow approximation, is an Eulerian method within Newtonian
theory, and is based on neglecting the role of particle inertia compared to the
damping implied by the Hubble drag. The second approach is General Relativistic
and Lagrangian; it is based on following the evolution of fluid and geometric
observables in the rest frame of each fluid element, under the only
approximation of neglecting the back--reaction on the system of the
gravitational radiation emitted during non--linear collapse.
","[{""version"":""v1"",""created"":""Mon, 11 Oct 1993 19:51:58 GMT""}]","2007-05-23"
"astro-ph/9310019",,"Michael S. Turner (Fermilab/U. Chicago)","The Meaning of Eros/Macho","15 pages Latex + 3 Figs available on request, FNAL---Pub-93/298-A",,,,"astro-ph hep-ph",,"  Most of the mass density in the Universe---and in the halo of our own
galaxy---exists in the form of dark matter. Overall, the contribution of
luminous matter (in stars) to the mass density of the Universe is less than
1\%; primordial nucleosynthesis indicates that baryons contribute between 1\%
and 10\% of the critical density ($0.01h^{-2}\la \Omega_B\la 0.02h^{-2}$; $h=$
the Hubble constant in units of $100\kms\Mpc^{-1}$); and other evidence
indicates that the total mass density is at least 10\% of critical density, and
likely much greater. If the universal density is as low as 10\% of the critical
density there may be but one kind of dark matter. More likely, the universal
density is greater than 10\%, and there are two kinds of dark matter, and thus
two dark matter problems: In what form does the baryonic dark matter exist? and
In what form does the nonbaryonic dark matter exist? The MACHO and EROS
collaborations have presented evidence for the microlensing of stars in the LMC
by $10^{-1\pm 1}M_\odot$ dark objects in the halo of our own galaxy and may
well have solved {\it one} of the dark matter puzzles by identifying the form
of the baryonic dark matter.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 1993 03:12:02 GMT""}]","2009-09-25"
"astro-ph/9310020",,"G. Giuricin, L. Tamburini, F. Mardirossian, M. Mezzetti, P. Monaco","The Nuclear Ten Micron Emission of Spiral Galaxies","20 pages, Latex, SISSA preprint, 8 figures and 4 tables available
  upon request",,"10.1086/174133",,"astro-ph",,"  We examine the 10\m\ emission of the central regions of 281 spiral galaxies,
after having compiled all ground-based, small-aperture ($\sim$5"") broad-band
photometric observations at \l$\sim$10\m\ (N magnitudes) published in the
literature. We evaluate the compactness of the $\sim$10\m\ emission of galaxy
nuclei by comparing these small-beam measures with the large-beam IRAS 12\m\
fluxes. In the analysis of different subsets of objects, we apply survival
analysis techniques in order to exploit the information contained in
``censored'' data (i.e., upper limits on the fluxes). Seyferts are found to
contain the most powerful nuclear sources of mid-infrared emission, which in
$\sim$1/3 of cases provide the bulk of the emission of the entire galaxy; thus,
mid-infrared emission in the outer disc regions is not uncommon in Seyferts.
The 10\m\ emission of Seyferts appears to be unrelated to their X-ray emission.
HII region-like nuclei are stronger mid-infrared sources than normal nuclei and
LINER nuclei (whose level of emission is not distinguishable from that of
normal nuclei). Interacting objects have, on average, greater 10\m\
luminosities than non-interacting ones and exhibit more compact emission.
Early-type spirals have stronger and more compact 10\m\ emission than late-type
ones. Barred spirals are brighter at $\sim$10\m\ than unbarred systems,
essentially because they more frequently contain HII region-like nuclei. The
results of our detailed comparison between the behaviour of various categories
of objects stress that the 10\m\ emission of spiral nuclei is closely linked to
the (predominantly non-thermal synchrotron) radio
","[{""version"":""v1"",""created"":""Tue, 12 Oct 1993 10:39:24 GMT""}]","2009-10-22"
"astro-ph/9310021",,"Elisabeth Vangioni-Flam, Keith A. Olive, and Nikos Prantzos","On the Galactic Evolution of $D$ and $^3He$","25 pages, LaTeX, UMN-TH-1206/93",,"10.1086/174171",,"astro-ph",,"  The determined abundances of primordial $^4He$ and $^7Li$ provide a basis
with which to test the standard model of big bang nucleosynthesis in
conjunction with the other two light element isotopes $D$ and $^3He$, also
produced in the big bang. Overall, consistency in the standard big bang
nucleosynthesis model is best achieved for a baryon-to-photon ratio of
typically $3 \times 10^{-10}$ for which the primordial value of $D$ is five
times greater than the present observed abundance and about three times greater
than the pre-solar value. We consider various models for the chemical evolution
of the Galaxy to test the feasibility for the destruction of D without the
overproduction of $^3He$ and overall metallicity. Models which are capable of
achieving this goal include ones with a star formation rate proportional to the
gas mass fraction or an exponentially decreasing star formation rate. We
discuss the effect of parameters that govern the initial mass function and of
surviving fractions of $^3He$ in stars between one and three solar masses.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 1993 15:52:17 GMT""}]","2009-10-22"
"cond-mat/9310020","Lotfi Belkhir","L. Belkhir, X.G. Wu, and J.K. Jain","Half-Integral Spin-Singlet Quantum Hall Effect","Latex 13 pages, 3 figures upon request",,"10.1103/PhysRevB.48.15245",,"cond-mat",,"  We provide numerical evidence that the ground state of a short range
interaction model at $\nu=1/2$ is incompressible and spin-singlet for a wide
range of repulsive interactions. Furthermore it is accurately described by a
trial wave function studied earlier. For the Coulomb interaction we find that
this wave function provides a good description of the lowest lying spin-singlet
state, and propose that fractional quantum Hall effect would occur at $\nu=1/2$
if this state became the global ground state.
","[{""version"":""v1"",""created"":""Mon, 11 Oct 1993 16:51:49 GMT""}]","2009-10-22"
"cond-mat/9310021","Lotfi Belkhir","Lotfi Belkhir and Mohit Randeria","From Cooper Pairs to Composite Bosons: A Generalized RPA Analysis of
  Collective Excitations","20 pages RevTex, 7 figures on request",,"10.1103/PhysRevB.49.6829",,"cond-mat",,"  The evolution of the ground state and the excitation spectrum of the two and
three dimensional attractive Hubbard model is studied as the system evolves
from a Cooper pair regime for weak attraction to a composite boson regime for a
strong attraction.
","[{""version"":""v1"",""created"":""Mon, 11 Oct 1993 16:59:44 GMT""}]","2009-10-22"
"gr-qc/9310018","Mourad","J. Mourad","Space-time events and relativistic particle localization","13 pages, LPTHE 93/41",,,,"gr-qc hep-th",,"  A relation expressing the covariant transformation properties of a
relativistic position operator is derived. This relation differs from the one
existing in the literature expressing manifest covariance by some factor
ordering. The relation is derived in order for the localization of a particle
to represent a space-time event. It is shown that there exists a conflict
between this relation and the hermiticity of a positive energy position
operator.
","[{""version"":""v1"",""created"":""Mon, 11 Oct 1993 19:04:52 GMT""}]","2007-05-23"
"gr-qc/9310019","B. R. Iyer","B.R.Iyer and C.V.Vishveshwara","The Frenet Serret Description of Gyroscopic Precession","37 pages, Paper in Latex","Phys.Rev.D48:5706-5720,1993","10.1103/PhysRevD.48.5706",,"gr-qc",,"  The phenomenon of gyroscopic precession is studied within the framework of
Frenet-Serret formalism adapted to quasi-Killing trajectories. Its relation to
the congruence vorticity is highlighted with particular reference to the
irrotational congruence admitted by the stationary, axisymmetric spacetime.
General precession formulae are obtained for circular orbits with arbitrary
constant angular speeds. By successive reduction, different types of
precessions are derived for the Kerr - Schwarzschild - Minkowski spacetime
family. The phenomenon is studied in the case of other interesting spacetimes,
such as the De Sitter and G\""{o}del universes as well as the general
stationary, cylindrical, vacuum spacetimes.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 1993 10:44:52 GMT""},{""version"":""v2"",""created"":""Mon, 18 Oct 1993 09:38:07 GMT""}]","2008-11-26"
