"alg-geom/9310008","Yves Laszlo","Andr\'e Hirschowitz, Yves Laszlo","A Propos de l'Existence de Fibr\'es Stables sur les Surfaces","9 pages, plain Tex, second version",,,,"alg-geom math.AG",,"  We prove the existence (in characteristic 0) on every polarized (smooth,
projective and connected) surface of stable bundles of rank $r\geq 2$,
arbitrary first Chern class and large enough $c_2$.
","[{""version"":""v1"",""created"":""Fri, 29 Oct 1993 13:54:06 GMT""},{""version"":""v2"",""created"":""Mon, 8 Nov 1993 08:43:21 GMT""}]","2008-02-03"
"astro-ph/9310049","Gary Mamon","Gary A. Mamon","Bulge/Disk Segregation in the Universe","15 pages, uuencoded compressed postscript, invited review to appear
  in 'Gravitational Dynamics and the N-Body Problem', ed. F. Combes & E.
  Athanassoula, mtg. held in Aussois, France, March 1993, POP-DAEC-93044",,,,"astro-ph",,"  The observations of bulge/disk segregation in the Universe are reviewed with
a focus on whether the observed segregation in clusters is local or global, and
whether there is bulge-disk segregation on large-scales. The high concentration
of bulge-rich galaxies in the cores of clusters of galaxies can be accounted
for by several popular physical processes: 1) biased early elliptical
formation, 2) abortion of disk formation by tidal destruction of the gas
reservoirs that fuel such disks, 3) ram pressure stripping of the gas in disks
by intergalactic gas, 4) merging of spiral galaxies into ellipticals (which is
the main focus of this review). A global scenario is outlined incorporating
each of these processes.
","[{""version"":""v1"",""created"":""Thu, 28 Oct 1993 16:16:30 GMT""}]","2007-05-23"
"astro-ph/9310050",,"Ue-Li Pen","Modes of Elliptical Galaxies","12",,"10.1086/174470",,"astro-ph",,"  Long lived modes of elliptical galaxies can exist {\it \`a la} van Kampen.
Specific systems may possess long lived oscillations which Landau damp on time
scales longer than a Hubble time. Some physical processes such as a close
encounter, tidal forces from a cluster or an orbiting satellite could
preferentially excite a coherent mode. These may relate to the observed faint
structure in elliptical galaxies such as shells and ripples. Their detection in
projected phase space would ultimately provide a detailed probe of the
underlying potential. I give an overview of linear perturbations to stationary
solutions of the Vlasov equation, including a discretized Hermite polynomial
expansion which explicitly demonstrates completeness and orthogonality of
solutions. Some exact solutions are shown, which implies the feasibility of
such a procedure and suggest future fully numerical studies.
","[{""version"":""v1"",""created"":""Thu, 28 Oct 1993 23:06:09 GMT""}]","2009-10-22"
"astro-ph/9310051","Naoshi Sugiyama","Naoshi Sugiyama, Joseph Silk and Nicola Vittorio","Reionization and Cosmic Microwave Anisotropies","10 pages, compressed uuencoded postscript (without figures),
  CfPA-TH-93-28",,"10.1086/187122",,"astro-ph",,"  The effects of reionization, occurring after standard recombination in cold
dark matter-dominated models, on CMB anisotropies are investigated. Late-time
reionization reduces the CMB anisotropies, in particular, on degree scales. It
is found that constraints on cold dark matter-dominated models from the highest
frequency channel of the 9-point South Pole data are significantly relaxed for
models which are consistent with Big Bang nucleosynthesis if reionization is
assumed to have occurred by redshift $\sim 20.$
","[{""version"":""v1"",""created"":""Fri, 29 Oct 1993 00:48:54 GMT""}]","2009-10-22"
"astro-ph/9310052",,"P. Mazzei, G. De Zotti, C. Xu","Models for the Evolution of the Spectral Energy Distribution of
  Elliptical Galaxies from UV to Far--IR Wavelengths","14, TeX, 228-10-93",,"10.1086/173705",,"astro-ph",,"  We have worked out evolutionary synthesis models of the broad-band spectral
energy distribution of elliptical galaxies over the whole frequency range from
UV to far--IR. Internal extinction and far--IR re--emission by interstellar
dust have been taken into account in a self--consistent way. Diffuse dust
emission has been modelled in terms of two components: warm dust, located in
regions of high radiation intensity, and cold dust, heated by the general
radiation field. Emission from circumstellar dust clouds at different galactic
ages was also taken into account. The models reproduce well the present average
broad--band spectrum of nearby ellipticals over about four decades in
frequency. Under the assumption of a dust--to--gas ratio proportional to the
metallicity, the fraction of bolometric luminosity coming out at far-IR
wavelengths strongly evolves during the galaxy lifetime, ranging from very low
local values ($\lsim 0.5\%$) to $\sim 30\%$ or more in the first billion years.
Some models even imply that early phases are optically thick; these models
provide an excellent fit of the observed spectral energy distribution of the
high redshift galaxy IRAS F10214$+$4724. Far--IR observations may thus play a
key role in investigating the early evolution of elliptical galaxies. A strong
far-IR evolution of early-type galaxies might be a crucial ingredient to
explain the deep $60\mic$ IRAS counts.
","[{""version"":""v1"",""created"":""Fri, 29 Oct 1993 09:01:00 GMT""}]","2009-10-22"
"chao-dyn/9310006","Ralf Utermann","R. Utermann, T. Dittrich, and P. Hanggi (University of Augsburg,
  Institute of Physics)","Tunneling And The Onset Of Chaos In A Driven Bistable System","17 pages in REVTeX preprint format. A version with encapsulated
  Postscript figures included (via epsf) and GIF-images of wave functions are
  available from the Gopher server aix.rz.uni-augsburg (port 300) in directory
  U Augsburg/Inst.f.Physik/Lst.f.Theo.PhysI/Tunneling and","Phys. Rev. E 49 (1994) 273-280","10.1103/PhysRevE.49.273",,"chao-dyn nlin.CD",,"  We study the interplay between coherent transport by tunneling and diffusive
transport through classically chaotic phase-space regions, as it is reflected
in the Floquet spectrum of the periodically driven quartic double well. The
tunnel splittings in the semiclassical regime are determined with high
numerical accuracy, and the association of the corresponding doublet states to
either chaotic or regular regions of the classical phase space is quantified in
terms of the overlap of the Husimi distribution with the chaotic layer along
the separatrix. We find a strong correlation between both quantities. They show
an increase by orders of magnitude as chaotic diffusion between the wells
starts to dominate the classical dynamics. We discuss semiclassical
explanations for this correlation.
","[{""version"":""v1"",""created"":""Thu, 28 Oct 1993 16:18:44 GMT""}]","2009-10-22"
"cond-mat/9310073",,"J. A. N. Filipe and A. J. Bray","Gaussian Approach for Phase Ordering in Nonconserved Scalar Systems with
  Long-Range Interactions","19 pages, Plain LaTeX, M/C.TH.93/27",,,,"cond-mat",,"  We have applied the gaussian auxiliary field method introduced by Mazenko to
the ordering dynamics of a non-conserved scalar system with attractive
long-range interactions. This study provides a test-bed for the approach and
shows some of the difficulties encountered in constructing a closed theory for
the pair correlation function. The equation obtained for the equal-time
two-point correlation function is studied in the limiting cases of small and
large values of the scaling variable. A Porod regime at short distance and an
asymptotic power-law decay at large distance are obtained. The theory, is not,
however, consistent with the expected growth-law, and attempts to retrieve the
correct growth lead to inconsistencies. These results indicate a failure of the
gaussian assumption (at least in the form in which we use it) for this system.
","[{""version"":""v1"",""created"":""Fri, 29 Oct 1993 14:02:54 GMT""}]","2007-05-23"
"cond-mat/9310074","Jordi Garcia Ojalvo","Jordi Garcia-Ojalvo (Universitat Politecnica de Catalunya) and Jose M.
  Sancho (Universitat de Barcelona)","Colored noise in Spatially-Extended Systems","19 pages (REVTEX 3.0), 9 figures appended or available upon request
  to ojalvo@noise.ecm.ub.es",,"10.1103/PhysRevE.49.2769",,"cond-mat",,"  We study the effects of time and space correlations of an external additive
colored noise on the steady-state behavior of a Time-Dependent Ginzburg-Landau
model. Simulations show the existence of nonequilibrium phase transitions
controlled by both the correlation time and length of the noise. A
Fokker-Planck equation and the steady probability density of the process are
obtained by means of a theoretical approximation.
","[{""version"":""v1"",""created"":""Fri, 29 Oct 1993 14:33:35 GMT""}]","2009-10-22"
"cond-mat/9310075",,"R. E. Blundell and A. J. Bray","Phase Ordering Dynamics of the O(n) Model - Exact Predictions and
  Numerical Results","23 pages, Plain LaTeX, M/C.TH.93/26",,"10.1103/PhysRevE.49.4925",,"cond-mat",,"  We consider the pair correlation functions of both the order parameter field
and its square for phase ordering in the $O(n)$ model with nonconserved order
parameter, in spatial dimension $2\le d\le 3$ and spin dimension $1\le n\le d$.
We calculate, in the scaling limit, the exact short-distance singularities of
these correlation functions and compare these predictions to numerical
simulations. Our results suggest that the scaling hypothesis does not hold for
the $d=2$ $O(2)$ model. Figures (23) are available on request - email
bray@v2.ph.man.ac.uk
","[{""version"":""v1"",""created"":""Fri, 29 Oct 1993 12:51:54 GMT""}]","2009-10-22"
"gr-qc/9310039","Thomas Thiemann","T. Thiemann","Generalized boundary conditions for general relativity for the
  asymptotically flat case in terms of Ashtekar's variables","Latex, 21 pages, PITHA 93-31, August 1993",,,,"gr-qc",,"  There is a gap that has been left open since the formulation of general
relativity in terms of Ashtekar's new variables namely the treatment of
asymptotically flat field configurations that are general enough to be able to
define the generators of the Lorentz subgroup of the asymptotical Poincar\'e
group. While such a formulation already exists for the old geometrodynamical
variables, up to now only the generators of the translation subgroup could be
defined because the function spaces of the fields considered earlier are taken
too special. The transcription of the framework from the ADM variables to
Ashtekar's variables turns out not to be straightforward due to the freedom to
choose the internal SO(3) frame at spatial infinity and due to the fact that
the non-trivial reality conditions of the Ashtekar framework reenter the game
when imposing suitable boundary conditions on the fields and the Lagrange
multipliers.
","[{""version"":""v1"",""created"":""Fri, 29 Oct 1993 09:50:37 GMT""}]","2007-05-23"
"gr-qc/9310040","Khatsymovsky","V.Khatsymovsky","How to construct quantum measure in Regge calculus?","11 pages, Plain LaTeX, preprint UUITP-21/1993","Class.Quant.Grav.11:2443-2453,1994","10.1088/0264-9381/11/10/006",,"gr-qc",,"  We propose the following way of constructing quantum measure in Regge
calculus: the full discrete Regge manifold is made continuous in some direction
by tending corresponding dimensions of simplices to zero, then functional
integral measure corresponding to the canonical quantization (with continuous
coordinate playing the role of time) can be constructed. The full discrete
measure is chosen so that it would result in canonical quantization one
whatever coordinate is made continuous. This strategy is followed in 3D case
where full discrete measure is determined in such the way practically uniquely
(in fact, family of similar measures is obtained). Averaging with the help of
the constructed measure gives finite expectation values for links.
","[{""version"":""v1"",""created"":""Fri, 29 Oct 1993 10:04:06 GMT""}]","2010-04-06"
