"astro-ph/9311012","Naoshi Sugiyama","Takashi Chiba, Naoshi Sugiyama and Yasushi Suto","Microwave Background Anisotropies in Primeval Isocurvature Baryon
  Models: Constraints on the Cosmological Parameters","10pages and 4figures compressed uuencoded postscript (with figures),
  UTAP-93-165","Astrophys.J. 429 (1994) 427-433","10.1086/174334",,"astro-ph",,"  We have performed the most comprehensive predictions of the temperature
fluctuations \dtt in the primeval isocurvature baryon models to see whether or
not the models are consistent with the recent data on the cosmic microwave
background anisotropies. More specifically, we computed the \dtt corresponding
to the experimental set-up by the South-Pole and the Owens Valley experiments
as well as the COBE satellite. The amplitudes of the predicted \dtt are
normalized by means of the COBE 10$^\circ$ data. The resulting constraints on
the models are presented on $n - \Omega_b$ plane in the case of
$\lambda_0=1-\Omega_b$ (flat models) and $\lambda_0=0$ (open models), where $n$
is the primordial spectral index of entropy fluctuations and $\Omega_b$ is the
present baryon density parameter.
  Our results imply that the PIB models cannot be reconciled with the current
observations for any reasonable set of cosmological parameters.
","[{""version"":""v1"",""created"":""Tue, 2 Nov 1993 22:53:50 GMT""}]","2009-10-22"
"comp-gas/9310002","Ed Bertschinger","Robert Ferrell and Edmund Bertschinger","Particle-Mesh Methods on the Connection Machine","22 pages, uuencoded compressed tarred postscript, 224 kB, available
  by anonymous ftp to arcturus.mit.edu as Preprints/pm.ps.Z","Int. J. Mod. Phys. C 5 (1994) 933","10.1142/S0129183194001069","preprint MIT-CSR-93-29","comp-gas astro-ph nlin.CG",,"  We describe an efficient Particle-Mesh algorithm for the Connection Machine
CM-5. Our particular method parallelizes well and the computation time per time
step decreases as the particles become more clustered. We achieve
floating-point computation rates of 4--5 MFlops/sec/processing node and total
operations (the sum of floating-point and integer arithmetic plus
communications) of 5--10 MOps/sec/processing node. The rates scale almost
linearly from 32 to 256 processors. Although some of what we discuss is
specific to the CM-5, many aspects (e.g., the computation of the force on a
mesh) are generic to all implementations, and other aspects (e.g., the
algorithm for assignment of the density to the mesh) are useful on any parallel
computer.
","[{""version"":""v1"",""created"":""Tue, 2 Nov 1993 23:06:29 GMT""}]","2009-10-22"
"cond-mat/9311007","Lizeng Zhang","Michael Ma, Pornthep Nisamaneephong and Lizeng Zhang","Ground State and Excitations of Disordered Boson Systems","13 pages. (postscript file because of the figures inserted in the
  text.)",,"10.1007/BF00692042",,"cond-mat",,"  After an introduction to the dirty bosons problem, we present a gaussian
theory for the ground state and excitations. This approach is physically
equivalent to the Bogoliubov approximation. We find that ODLRO can be destroyed
with sufficient disorder. The density of states and localization of the
elementary excitations are discussed. (To appear in JLTP Proceedings of the
Conference on Condensed Bose Systems at the University of Minnesota, 1993.)
","[{""version"":""v1"",""created"":""Wed, 3 Nov 1993 02:46:07 GMT""}]","2009-10-22"
"cond-mat/9311008",,"D. Poilblanc, W. Hanke, and D. J. Scalapino","Resonant Impurity Scattering in a Strongly Correlated Electron Model","10 pages, 4 figures available on request, report LPQTH-93-20",,"10.1103/PhysRevLett.72.884",,"cond-mat",,"  Scattering by a single impurity introduced in a strongly correlated
electronic system is studied by exact diagonalization of small clusters. It is
shown that an inert site which is spinless and unable to accomodate holes can
give rise to strong resonant scattering. A calculation of the local density of
state reveals that, for increasing antiferromagnetic exchange coupling, d, s
and p-wave symmetry bound states in which a mobile hole is trapped by the
impurity potential induced by a local distortion of the antiferromagnetic
background successively pull out from the continuum.
","[{""version"":""v1"",""created"":""Wed, 3 Nov 1993 10:46:40 GMT""}]","2009-10-22"
"gr-qc/9311002",,"Kin-Wang Ng","Graviton Mode Function in Inflationary Cosmology","26 pages, revtex, 4 figures (available upon request). We have added a
  new Section VIII with four new figures, in which Eq. (35) is used to
  calculate the graviton spectral energy density and the tensor-induced CMB
  anisotropy","Int.J.Mod.Phys. A11 (1996) 3175-3193","10.1142/S0217751X96001528","IP-ASTP-31-93","gr-qc astro-ph",,"  We consider the production of gravitons in an inflationary cosmology by
approximating each epoch of change in the equation of state as sudden, from
which a simple analytic graviton mode function has been derived. We use this
mode function to compute the graviton spectral energy density and the
tensor-induced cosmic microwave background anisotropy. The results are then
compared to the numerical calculations which incorporate a smooth
radiation-matter phase transition. We find that the sudden approximation is a
fairly good method. Besides, in determining the frequency range and amplitude
of the mode function, we introduce a pre-inflationary radiation-dominated epoch
and use a physically sensible regularization method.
","[{""version"":""v1"",""created"":""Tue, 2 Nov 1993 22:50:00 GMT""},{""version"":""v2"",""created"":""Fri, 13 May 1994 17:56:19 GMT""},{""version"":""v3"",""created"":""Sat, 20 May 1995 04:17:32 GMT""}]","2009-10-22"
"gr-qc/9311003","Sergey Tertychniy","S.Tertychniy","Local Determination of the Light Deflection in the Sperically Symmetric
  Static Gravitational Field","23 pages including 2 figures, uuencoded compressed PostScript, no
  local number",,,,"gr-qc",,"  The new method of invariant definition of the measurable angle of light
deflection in the static central symmetric gravitational field is suggested.
The predicted pure gravitational contribution to the deflection angle slightly
differs from its classical estimate and one may hope that this discrepancy
could be experimentally detected in the near future. (uuencoded,compressed
PostScript, 23 p. inc. 2 fig.)
","[{""version"":""v1"",""created"":""Tue, 2 Nov 1993 19:23:49 GMT""}]","2007-05-23"
"hep-lat/9311002",,"S. Antonelli, M. Bellacci, A. Donini and R. Sarno","Full QCD on APE100 Machines","23 pages, LaTeX, 13 PS figures not included","Int. J. Mod. Phys. C6 (1995) 25","10.1142/S0129183195000046","ROME Preprint 93/972","hep-lat",,"  We present the first tests and results from a study of QCD with two flavours
of dynamical Wilson fermions using the Hybrid Monte Carlo Algorithm (HMCA) on
APE100 machines.
","[{""version"":""v1"",""created"":""Tue, 2 Nov 1993 20:46:00 GMT""}]","2015-06-25"
"hep-lat/9311003","Kenton Yee","Ken Yee","Compact U(1)xU(1) Model with Minimal Interspecies Interaction","1+10 pages, LSUHEP-1010-93, hep-lat/9311003","Mod.Phys.Lett. A9 (1994) 1991-1997","10.1142/S0217732394001854",,"hep-lat",,"  We introduce a minimally interacting pure gauge compact U(1)xU(1) model
consistent with abelian projection symmetries. This paradigm, whose
interactions are entirely due to compactness, illustrates how compactness can
contribute to interspecies interactions. Furthermore, it has a much richer
phase structure(including a magnetically confining phase) than obtained by
naively tensoring together two compact U(1) copies.
","[{""version"":""v1"",""created"":""Wed, 3 Nov 1993 07:55:59 GMT""}]","2009-10-22"
"hep-ph/9311211","Roberto Ugoccioni","R. Ugoccioni, A. Giovannini and S. Lupia","The Generalized Simplified Parton Shower Model","(uuencoded, gzip-compressed postscript file, 6 pages) DFTT 52/93.
  [Talk presented at XXIII Int'l. Symposium on Multiparticle Dynamics, Aspen,
  CO, USA, 12-17 September 1993]",,,,"hep-ph",,"  We explore the consequences of considering clans real physical objects in the
framework of a generalized version of the Simplified Parton Shower model for a
single jet. We predict that the average number of clans at fixed energy grows
linearly in rapidity and slowly decreases with energy in a fixed rapidity
interval.
","[{""version"":""v1"",""created"":""Tue, 2 Nov 1993 16:50:46 GMT""}]","2007-05-23"
"hep-ph/9311212","Ming Lu","Mark B. Wise","Heavy Flavor Theory: Overview","25 pages, phyzzx, CALT-68-1901, Talk given at the Lepton Photon
  Conference",,"10.1063/1.45482",,"hep-ph",,"  An introduction to the heavy quark effective theory and its symmetries is
given. Some implications of the heavy quark spin and flavor symmetries are
discussed. Recent results on fragmentation to quarkonium states are reviewed.
","[{""version"":""v1"",""created"":""Tue, 2 Nov 1993 19:41:45 GMT""}]","2015-06-25"
"hep-ph/9311213","Gregory D. Mahlon","Gregory Mahlon","One Loop Multiphoton Helicity Amplitudes","27 pages + 4 uuencoded figures (included), Fermilab-Pub-93/327-T,
  RevTeX","Phys.Rev. D49 (1994) 2197-2210","10.1103/PhysRevD.49.2197",,"hep-ph",,"  We use the solutions to the recursion relations for double-off-shell fermion
currents to compute helicity amplitudes for $n$-photon scattering and
electron-positron annihilation to photons in the massless limit of QED. The
form of these solutions is simple enough to allow {\it all}\ of the
integrations to be performed explicitly. For $n$-photon scattering, we find
that unless $n=4$, the amplitudes for the helicity configurations (+++...+) and
(-++...+) vanish to one-loop order.
","[{""version"":""v1"",""created"":""Tue, 2 Nov 1993 22:28:39 GMT""}]","2009-10-22"
