"astro-ph/9312018","Douglas Heggie","Douglas C. Heggie (University of Edinburgh, Department of Mathematics
  and Statistics,King's Buildings,Edinburgh EH10 5NL,U.K.)","Gravothermal Oscillations","E-mail: d.c.heggie@ed.ac.uk; 11 pages",,,,"astro-ph",,"  Gravothermal oscillations occur in several models for the post-collapse
evolution of rich star clusters. This paper reviews the main literature, and
presents some new N-body results which appear to exhibit this phenomenon.
","[{""version"":""v1"",""created"":""Fri, 10 Dec 1993 15:39:37 GMT""}]","2007-05-23"
"chao-dyn/9312005","Riccardo Mannella","MI Dykman, DG Luchinsky, R Mannella, PVE McClintock, HE Short, ND
  Stein and N G Stocks","Noise-Induced Linearisation and Delinearisation","17 pages. No special macros. Figures on request",,,"DFUPSM9363","chao-dyn adap-org nlin.AO nlin.CD",,"  It is demonstrated, by means of analogue electronic simulation and
theoretically, that external noise can markedly change the character of the
response of a nonlinear system to a low-frequency periodic field. In general,
noise of sufficient intensity {\it linearises} the response. For certain
parameter ranges in particular cases, however, an increase in the noise
intensity can sometime have the opposite effect and is shown to {\it
delinearise} the response. The physical origins of these contrary behaviours
are discussed.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1993 19:00:41 GMT""},{""version"":""v2"",""created"":""Fri, 10 Dec 1993 17:59:39 GMT""}]","2008-02-03"
"comp-gas/9312002","Theo","T. Karapiperis (Paul Scherrer Institute, CH-5232 Villigen PSI,
  Switzerland) and B. Blankleider (Paul Scherrer Institute, CH-5232 Villigen
  PSI, Switzerland, and School of Physical Sciences, Flinders University,
  Bedford Park, S.A. 5042, Australia (Present address))","Cellular automaton model of reaction-transport processes","Figures available from first author. Requests may be submitted by
  E-mail (theo@cvax.psi.ch) or ordinary mail (Paul Scherrer Institute, CH-5232
  Villigen PSI, Switzerland)",,"10.1016/0167-2789(94)00093-X","PSI Report No. 93-06","comp-gas nlin.CG",,"  The transport and chemical reactions of solutes are modelled as a cellular
automaton in which molecules of different species perform a random walk on a
regular lattice and react according to a local probabilistic rule. The model
describes advection and diffusion in a simple way, and as no restriction is
placed on the number of particles at a lattice site, it is also able to
describe a wide variety of chemical reactions. Assuming molecular chaos and a
smooth density function, we obtain the standard reaction-transport equations in
the continuum limit. Simulations on one- and two-dimensional lattices show that
the discrete model can be used to approximate the solutions of the continuum
equations. We discuss discrepancies which arise from correlations between
molecules and how these disappear as the continuum limit is approached. Of
particular interest are simulations displaying long-time behaviour which
depends on long-wavelength statistical fluctuations not accounted for by the
standard equations. The model is applied to the reactions $a + b
\rightleftharpoons c$ and $a + b \rightarrow c$ with homogeneous and
inhomogeneous initial conditions as well as to systems subject to autocatalytic
reactions and displaying spontaneous formation of spatial concentration
patterns.
","[{""version"":""v1"",""created"":""Fri, 10 Dec 1993 14:59:15 GMT""}]","2009-10-22"
"cond-mat/9312042","Robert C. Jahnke","X. -G. Zhao, R. Jahnke, and Q. Niu","Dynamic Fractional Stark Ladders in DC--AC Fields","12pages, TeX, 3 figures upon request. This version of the paper was
  resubmitted to PRL on 3/27/94. This is a structural revision and does not
  contain any major conceptual changes",,,,"cond-mat",,"  A single band in a spatially periodic system splits into a series of
quasienergy subbands under the action of DC--AC electric fields. These dynamic
fractional Stark ladders should be observable in an investigation of optical
absorption.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1993 19:12:15 GMT""},{""version"":""v2"",""created"":""Fri, 9 Dec 1994 22:59:40 GMT""}]","2008-02-03"
"cond-mat/9312043","M. V. Sadovskii","E.Z.Kuchinskii, M.V.Sadovskii","Temperature Dependence of the Upper Critical Field in High-Temperature
  Superconductors: Localization Effects","8 pages, RevTeX 2.0, 1 Figure attached, IEF-LTF 93-4","JETP Letters 58 (1993) 819",,,"cond-mat",,"  It is shown that the anomalous temperature dependence of the orbital part of
the upper critical field $H_{c2}$ observed for epitaxially grown films of
high-temperature superconductor $Bi-Sr-Cu-O$ (in wide temperature interval) can
be satisfactorily explained by the influence of localization effects in
two-dimensional (quasi-two-dimensional) case.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1993 17:35:27 GMT""}]","2007-05-23"
"gr-qc/9312017",,"J. W. Moffat","Predictability in Quantum Gravity and Black Hole Evaporation","13 pages TeX 3.0, UTPT-93-31",,,,"gr-qc",,"  A possible resolution of the information loss paradox for black holes is
proposed in which a phase transition occurs when the temperature of an
evaporating black hole equals a critical value, $T_c$, and Lorentz invariance
and diffeomorphism invariance are spontaneously broken. This allows a
generalization of Schr\""odinger's equation for the quantum mechanical density
matrix, such that a pure state can evolve into a mixed state, because in the
symmetry broken phase the conservation of energy-momentum is spontaneously
violated. TCP invariance is also spontaneously broken together with time
reversal invariance, allowing the existence of white holes, which are black
holes moving backwards in time. Domain walls would form which separate the
black holes and white holes (anti-black holes) in the broken symmetry regime,
and the system could evolve into equilibrium producing a balance of information
loss and gain.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1993 20:54:58 GMT""}]","2007-05-23"
"gr-qc/9312018","Hai Ren","Hai Ren","Time-Dependent Open String Solutions in 2+1 Dimensional Gravity","CU-TP-619, 18 pages. (minor changes)","Phys.Rev.D50:2615-2622,1994","10.1103/PhysRevD.50.2615",,"gr-qc",,"  We find general, time-dependent solutions produced by open string sources
carrying no momentum flow in 2+1 dimensional gravity. The local Poincar\'e
group elements associated with these solutions and the coordinate
transformations that transform these solutions into Minkowski metric are
obtained. We also find the relation between these solutions and the planar wall
solutions in 3+1 dimensions.
","[{""version"":""v1"",""created"":""Fri, 10 Dec 1993 00:58:30 GMT""},{""version"":""v2"",""created"":""Thu, 30 Dec 1993 00:18:28 GMT""}]","2010-11-01"
"hep-lat/9312040","J. Westphalen","J. Westphalen, F. Zimmermann, M. Goeckeler and H. A. Kastrup","Scattering phases in the broken phase of the 4-d O(4) non-linear
  sigma-model","3 pages, talk presented at Lattice 1993","Nucl.Phys.Proc.Suppl. 34 (1994) 566-568","10.1016/0920-5632(94)90448-0",,"hep-lat",,"  Using Luescher's method we determine the elastic scattering phases in the
broken phase of the 4-dimensional O(4) non-linear sigma-model from the
two-particle energy spectrum in a Monte-Carlo study on finite lattices. In the
isospin-0-channel we observe the sigma-resonance and extract its mass and its
width. In all scattering channels investigated the results are consistent with
perturbative calculations.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1993 17:25:46 GMT""}]","2009-10-22"
"hep-lat/9312042","Andreas Kronfeld","A.S. Kronfeld and B.P. Mertens","Renormalization of Massive Lattice Fermions","3 pages (you guessed it: to appear in Lattice '93), uuencoded
  PostScript file, FERMILAB-CONF-93/382-T and EFI 93-72. Regular PostScript
  file by anonymous ftp to fnth06.fnal.gov as pub/Fermilab-Pub/93.382",,"10.1016/0920-5632(94)90428-6",,"hep-lat",,"  The renormalization of a general action for massive lattice fermions is
discussed. The analysis applies for all $m_q a$. Preliminary results for the
self energy at one loop in perturbation theory are presented.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1993 18:03:14 GMT""}]","2009-10-22"
"hep-lat/9312043","Tilman Sauer","W. Janke and T. Sauer","Multicanonical multigrid Monte Carlo method and effective
  autocorellation time","contribution to LATTICE'93 proceedings, 3 pp. in postscript format,
  FU-Berlin preprint FUB-HEP 18-93","Nucl.Phys.Proc.Suppl. 34 (1994) 771-773","10.1016/0920-5632(94)90509-6",,"hep-lat",,"  We report tests of the recently proposed multicanonical multigrid Monte Carlo
method for the two-dimensional $\Phi^4$ field theory. Defining an effective
autocorrelation time we obtain real time improvement factors of about one order
of magnitude compared with standard multicanonical simulations.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1993 18:55:17 GMT""}]","2009-10-22"
"hep-lat/9312044","Craig McNeile","Terrence Draper and Craig McNeile","An investigation into a wavelet accelerated gauge fixing algorithm","Resubmitted as a uuencode-compressed-tar postscript file. A
  Daubechies wavelet transform will transform a vector of length $N$ in $O(N)$
  operations, and not in O(N log N) operations as we incorrectly stated in the
  first version of this paper",,"10.1016/0920-5632(94)90511-8",,"hep-lat",,"  We introduce an acceleration algorithm for coulomb gauge fixing, using the
compactly supported wavelets introduced by Daubechies. The algorithm is similar
to Fourier acceleration. Our provisional numerical results for $SU(3)$ on
$8^{4}$ lattices show that the acceleration based on the DAUB6 transform can
reduce the number of iterations by a factor up to 3 over the unaccelerated
algorithm. The reduction in iterations for Fourier acceleration is
approximately a factor of 7.
","[{""version"":""v1"",""created"":""Thu, 9 Dec 1993 18:55:55 GMT""},{""version"":""v2"",""created"":""Wed, 30 Mar 1994 18:52:09 GMT""},{""version"":""v3"",""created"":""Sun, 3 Apr 1994 02:22:38 GMT""}]","2009-10-22"
